tryNum,worker_0,worker_1,worker_2,worker_3,worker_4,worker_5,worker_6,worker_7,worker_8,worker_9,worker_10,worker_11,worker_12,worker_13,worker_14,worker_15,worker_16,worker_17,worker_18,worker_19,worker_20,worker_21,worker_22,worker_23,worker_24,worker_25,worker_26,worker_27,worker_28,worker_29,worker_30,worker_31,worker_32,worker_33,worker_34,worker_35,worker_36,worker_37,worker_38,worker_39,worker_40,worker_41,worker_42,worker_43,worker_44,worker_45,worker_46,worker_47,worker_48,worker_49
21,-66.15384615384615,-75,-21.428571428571427,-77.77777777777779,-38.88888888888889,450,-26.666666666666668,29.411764705882355,-31.25,-69.44444444444444,-60.71428571428571,-71.05263157894737,-42.10526315789473,-53.191489361702125,-52.17391304347826,-8.333333333333332,-60.71428571428571,-72.5,-33.33333333333333,-63.934426229508205,-74.11764705882354,-68.57142857142857,-58.490566037735846,214.28571428571428,-71.42857142857143,-63.33333333333333,-70.27027027027027,-50,-46.34146341463415,-35.294117647058826,-58.490566037735846,-57.692307692307686,-75.82417582417582,-72.8395061728395,-4.3478260869565215,-57.692307692307686,37.5,-15.384615384615385,-35.294117647058826,-45,-12,-77.55102040816327,-77.31958762886599,-75,150,500,-72.05882352941177,-32.142857142857146,-38.095238095238095,37.5
22,-64.61538461538461,-73.86363636363636,-17.857142857142858,-76.76767676767676,-36.11111111111111,475,-23.333333333333332,35.294117647058826,-28.125,-68.05555555555556,-58.92857142857143,-69.73684210526315,-39.473684210526315,-51.06382978723404,-50,-4.166666666666666,-58.92857142857143,-71.25,-30.303030303030305,-62.295081967213115,-72.94117647058823,-67.14285714285714,-56.60377358490566,228.57142857142856,-70.12987012987013,-61.66666666666667,-68.91891891891892,-47.72727272727273,-43.90243902439025,-32.35294117647059,-56.60377358490566,-55.769230769230774,-74.72527472527473,-71.60493827160494,0,-55.769230769230774,43.75,-11.538461538461538,-32.35294117647059,-42.5,-8,-76.53061224489795,-76.28865979381443,-73.86363636363636,162.5,533.3333333333333,-70.58823529411765,-28.57142857142857,-33.33333333333333,50
23,-63.07692307692307,-72.72727272727273,-14.285714285714285,-75.75757575757575,-33.33333333333333,500,-20,41.17647058823529,-25,-66.66666666666666,-57.14285714285714,-68.42105263157895,-36.84210526315789,-48.93617021276596,-47.82608695652174,0,-57.14285714285714,-70,-27.27272727272727,-60.65573770491803,-71.76470588235294,-65.71428571428571,-54.71698113207547,242.85714285714283,-68.83116883116884,-60,-67.56756756756756,-45.45454545454545,-41.46341463414634,-29.411764705882355,-54.71698113207547,-53.84615384615385,-73.62637362637363,-70.37037037037037,4.3478260869565215,-53.84615384615385,50,-7.6923076923076925,-29.411764705882355,-40,-4,-75.51020408163265,-75.25773195876289,-72.72727272727273,175,566.6666666666667,-69.11764705882352,-32.142857142857146,-38.095238095238095,37.5
24,-61.53846153846154,-71.5909090909091,-10.714285714285714,-74.74747474747475,-30.555555555555557,525,-16.666666666666664,47.05882352941176,-21.875,-65.27777777777779,-55.35714285714286,-67.10526315789474,-34.21052631578947,-46.808510638297875,-45.65217391304348,4.166666666666666,-55.35714285714286,-68.75,-24.242424242424242,-59.01639344262295,-70.58823529411765,-64.28571428571429,-52.83018867924528,257.14285714285717,-67.53246753246754,-58.333333333333336,-66.21621621621621,-43.18181818181818,-39.02439024390244,-26.47058823529412,-52.83018867924528,-51.92307692307693,-72.52747252747253,-69.1358024691358,8.695652173913043,-51.92307692307693,56.25,-3.8461538461538463,-26.47058823529412,-37.5,0,-74.48979591836735,-74.22680412371135,-71.5909090909091,162.5,533.3333333333333,-67.64705882352942,-32.142857142857146,-38.095238095238095,37.5
25,-60,-70.45454545454545,-7.142857142857142,-73.73737373737373,-27.77777777777778,550,-13.333333333333334,52.94117647058824,-18.75,-63.888888888888886,-53.57142857142857,-65.78947368421053,-31.57894736842105,-44.680851063829785,-43.47826086956522,8.333333333333332,-53.57142857142857,-67.5,-21.21212121212121,-57.377049180327866,-69.41176470588235,-62.857142857142854,-50.943396226415096,271.42857142857144,-66.23376623376623,-56.666666666666664,-64.86486486486487,-40.909090909090914,-36.58536585365854,-23.52941176470588,-50.943396226415096,-50,-71.42857142857143,-67.90123456790124,13.043478260869565,-50,62.5,0,-23.52941176470588,-35,4,-73.46938775510205,-73.19587628865979,-70.45454545454545,175,500,-69.11764705882352,-35.714285714285715,-42.857142857142854,25
26,-58.46153846153847,-69.31818181818183,-3.571428571428571,-72.72727272727273,-25,575,-10,58.82352941176471,-15.625,-62.5,-51.78571428571429,-64.47368421052632,-28.947368421052634,-42.5531914893617,-41.30434782608695,12.5,-51.78571428571429,-66.25,-18.181818181818183,-55.73770491803278,-68.23529411764706,-61.42857142857143,-49.056603773584904,285.7142857142857,-64.93506493506493,-55.00000000000001,-63.51351351351351,-38.63636363636363,-34.146341463414636,-20.588235294117645,-49.056603773584904,-48.07692307692308,-70.32967032967034,-66.66666666666666,17.391304347826086,-48.07692307692308,68.75,3.8461538461538463,-20.588235294117645,-32.5,8,-72.44897959183673,-72.16494845360825,-69.31818181818183,187.5,533.3333333333333,-67.64705882352942,-32.142857142857146,-38.095238095238095,37.5
27,-56.92307692307692,-68.18181818181817,0,-71.71717171717171,-22.22222222222222,600,-6.666666666666667,64.70588235294117,-12.5,-61.111111111111114,-50,-63.1578947368421,-26.31578947368421,-40.42553191489361,-39.130434782608695,16.666666666666664,-50,-65,-15.151515151515152,-54.09836065573771,-67.05882352941175,-60,-47.16981132075472,300,-63.63636363636363,-53.333333333333336,-62.16216216216216,-36.36363636363637,-31.70731707317073,-17.647058823529413,-47.16981132075472,-46.15384615384615,-69.23076923076923,-65.4320987654321,21.73913043478261,-46.15384615384615,75,7.6923076923076925,-17.647058823529413,-30,12,-71.42857142857143,-71.1340206185567,-68.18181818181817,200,566.6666666666667,-66.17647058823529,-28.57142857142857,-33.33333333333333,25
28,-55.38461538461539,-67.04545454545455,3.571428571428571,-70.70707070707071,-19.444444444444446,625,-3.3333333333333335,70.58823529411765,-9.375,-59.72222222222222,-48.214285714285715,-61.8421052631579,-23.684210526315788,-38.297872340425535,-36.95652173913043,20.833333333333336,-48.214285714285715,-63.74999999999999,-12.121212121212121,-52.459016393442624,-65.88235294117646,-58.57142857142858,-45.28301886792453,314.2857142857143,-62.33766233766234,-51.66666666666667,-60.810810810810814,-34.090909090909086,-29.268292682926827,-14.705882352941178,-45.28301886792453,-44.230769230769226,-68.13186813186813,-64.19753086419753,26.08695652173913,-44.230769230769226,81.25,11.538461538461538,-14.705882352941178,-27.500000000000004,16,-70.40816326530613,-70.10309278350515,-67.04545454545455,212.5,600,-64.70588235294117,-25,-38.095238095238095,12.5
29,-53.84615384615385,-65.9090909090909,7.142857142857142,-69.6969696969697,-16.666666666666664,650,0,76.47058823529412,-6.25,-58.333333333333336,-46.42857142857143,-60.526315789473685,-21.052631578947366,-36.17021276595745,-34.78260869565217,25,-46.42857142857143,-62.5,-9.090909090909092,-50.81967213114754,-64.70588235294117,-57.14285714285714,-43.39622641509434,328.57142857142856,-61.038961038961034,-50,-59.45945945945946,-31.818181818181817,-26.82926829268293,-11.76470588235294,-43.39622641509434,-42.30769230769231,-67.03296703296702,-62.96296296296296,30.434782608695656,-42.30769230769231,87.5,15.384615384615385,-11.76470588235294,-25,20,-70.40816326530613,-70.10309278350515,-67.04545454545455,212.5,600,-64.70588235294117,-25,-38.095238095238095,12.5
30,-52.307692307692314,-64.77272727272727,10.714285714285714,-68.68686868686868,-13.88888888888889,675,3.3333333333333335,82.35294117647058,-3.125,-56.94444444444444,-44.642857142857146,-59.210526315789465,-18.421052631578945,-34.04255319148936,-32.608695652173914,29.166666666666668,-44.642857142857146,-61.25000000000001,-6.0606060606060606,-49.18032786885246,-63.52941176470588,-55.714285714285715,-41.509433962264154,342.85714285714283,-59.74025974025974,-48.333333333333336,-58.108108108108105,-29.545454545454547,-24.390243902439025,-8.823529411764707,-41.509433962264154,-40.38461538461539,-65.93406593406593,-61.72839506172839,34.78260869565217,-40.38461538461539,93.75,19.230769230769234,-8.823529411764707,-22.5,24,-69.38775510204081,-69.0721649484536,-65.9090909090909,225,633.3333333333333,-63.23529411764706,-21.428571428571427,-42.857142857142854,0
